date_time,is_holiday,temp_F,rain_1h,snow_1h,clouds_all,weather_main,traffic_volume
2012-10-02 09:00:00,True,59.233999999999995,0.0,0.0,40,Clouds,5545
2012-10-02 10:00:00,True,61.17800000000007,0.0,0.0,75,Clouds,4516
2012-10-02 11:00:00,True,61.57400000000001,0.0,0.0,90,Clouds,4767
2012-10-02 12:00:00,True,62.564000000000036,0.0,0.0,90,Clouds,5026
2012-10-02 13:00:00,True,64.38200000000002,0.0,0.0,75,Clouds,4918
2012-10-02 14:00:00,True,65.4260000000001,0.0,0.0,1,Clear,5181
2012-10-02 15:00:00,True,68.03600000000007,0.0,0.0,1,Clear,5584
2012-10-02 16:00:00,True,69.27800000000008,0.0,0.0,1,Clear,6015
2012-10-02 17:00:00,True,69.78200000000001,0.0,0.0,20,Clouds,5791
2012-10-02 18:00:00,True,67.91000000000008,0.0,0.0,20,Clouds,4770
2012-10-02 19:00:00,True,64.07600000000009,0.0,0.0,20,Clouds,3539
2012-10-02 20:00:00,True,61.214000000000034,0.0,0.0,1,Clear,2784
2012-10-02 21:00:00,True,59.82800000000007,0.0,0.0,1,Clear,2361
2012-10-02 22:00:00,True,57.21800000000009,0.0,0.0,1,Clear,1529
2012-10-02 23:00:00,True,54.14000000000002,0.0,0.0,1,Clear,963
2012-10-03 00:00:00,True,52.66400000000003,0.0,0.0,1,Clear,506
2012-10-03 01:00:00,True,50.57600000000009,0.0,0.0,1,Clear,321
2012-10-03 02:00:00,True,46.45400000000005,0.0,0.0,1,Clear,273
2012-10-03 03:00:00,True,46.291999999999994,0.0,0.0,1,Clear,367
2012-10-03 04:00:00,True,43.483999999999995,0.0,0.0,1,Clear,814
2012-10-03 05:00:00,True,41.846000000000046,0.0,0.0,1,Clear,2718
2012-10-03 06:00:00,True,41.14400000000008,0.0,0.0,1,Clear,5673
2012-10-03 08:00:00,True,40.94600000000005,0.0,0.0,1,Clear,6511
2012-10-03 09:00:00,True,48.794000000000075,0.0,0.0,1,Clear,5471
2012-10-03 12:00:00,True,65.87600000000009,0.0,0.0,1,Clear,5097
2012-10-03 13:00:00,True,68.14400000000008,0.0,0.0,1,Clear,4887
2012-10-03 14:00:00,True,70.08800000000005,0.0,0.0,1,Clear,5337
2012-10-03 15:00:00,True,71.63600000000008,0.0,0.0,1,Clear,5692
2012-10-03 16:00:00,True,71.56400000000004,0.0,0.0,1,Clear,6137
2012-10-03 18:00:00,True,68.91800000000009,0.0,0.0,20,Clouds,4623
2012-10-03 19:00:00,True,63.5,0.0,0.0,20,Clouds,3591
2012-10-03 20:00:00,True,59.07200000000004,0.0,0.0,20,Clouds,2898
2012-10-03 21:00:00,True,57.110000000000085,0.0,0.0,1,Clear,2637
2012-10-03 22:00:00,True,55.58000000000004,0.0,0.0,1,Clear,1777
2012-10-03 23:00:00,True,53.79800000000003,0.0,0.0,1,Clear,1015
2012-10-04 00:00:00,True,52.52000000000007,0.0,0.0,1,Clear,598
2012-10-04 01:00:00,True,50.57600000000009,0.0,0.0,1,Clear,369
2012-10-04 02:00:00,True,50.03600000000007,0.0,0.0,1,Clear,312
2012-10-04 03:00:00,True,48.00200000000008,0.0,0.0,1,Clear,367
2012-10-04 04:00:00,True,47.372000000000035,0.0,0.0,1,Clear,835
2012-10-04 05:00:00,True,46.70600000000003,0.0,0.0,1,Clear,2726
2012-10-04 06:00:00,True,45.662000000000056,0.0,0.0,1,Clear,5689
2012-10-04 07:00:00,True,45.35600000000003,0.0,0.0,1,Clear,6990
2012-10-04 08:00:00,True,47.67800000000007,0.0,0.0,1,Clear,5985
2012-10-04 09:00:00,True,53.294000000000075,0.0,0.0,1,Clear,5309
2012-10-04 10:00:00,True,60.854000000000056,0.0,0.0,1,Clear,4603
2012-10-04 11:00:00,True,65.12000000000006,0.0,0.0,1,Clear,4884
2012-10-04 12:00:00,True,71.2760000000001,0.0,0.0,1,Clear,5104
2012-10-04 13:00:00,True,73.81400000000004,0.0,0.0,1,Clear,5178
2012-10-04 14:00:00,True,75.50600000000003,0.0,0.0,1,Clear,5501
2012-10-04 15:00:00,True,77.03600000000007,0.0,0.0,1,Clear,5713
2012-10-04 16:00:00,True,76.83800000000005,0.0,0.0,20,Clouds,6292
2012-10-04 17:00:00,True,76.13600000000008,0.0,0.0,20,Clouds,6057
2012-10-04 18:00:00,True,73.77800000000008,0.0,0.0,40,Clouds,4907
2012-10-04 19:00:00,True,69.26000000000008,0.0,0.0,40,Clouds,3503
2012-10-04 20:00:00,True,66.70400000000006,0.0,0.0,40,Clouds,3037
2012-10-04 21:00:00,True,65.51600000000002,0.0,0.0,75,Clouds,2822
2012-10-04 22:00:00,True,64.77800000000008,0.0,0.0,75,Clouds,1992
2012-10-04 23:00:00,True,64.34600000000006,0.0,0.0,75,Clouds,1166
2012-10-05 00:00:00,True,63.464000000000034,0.0,0.0,75,Clouds,627
2012-10-05 01:00:00,True,63.158,0.0,0.0,40,Clouds,388
2012-10-05 03:00:00,True,60.998000000000026,0.0,0.0,0,Clear,368
2012-10-05 05:00:00,True,50.108000000000004,0.0,0.0,75,Clouds,2489
2012-10-05 06:00:00,True,48.36200000000006,0.0,0.0,90,Clouds,5537
2012-10-05 07:00:00,True,47.372000000000035,0.0,0.0,90,Clouds,6628
2012-10-05 08:00:00,True,45.35600000000003,0.0,0.0,90,Clouds,5534
2012-10-05 09:00:00,True,44.36600000000001,0.0,0.0,75,Clouds,5403
2012-10-05 10:00:00,True,44.52800000000006,0.0,0.0,75,Clouds,4770
2012-10-05 11:00:00,True,44.33000000000004,0.0,0.0,90,Clouds,5217
2012-10-05 12:00:00,True,45.28399999999999,0.0,0.0,90,Clouds,5870
2012-10-05 13:00:00,True,46.90400000000005,0.0,0.0,75,Clouds,5967
2012-10-05 14:00:00,True,47.53399999999999,0.0,0.0,90,Clouds,6108
2012-10-05 15:00:00,True,47.768000000000086,0.0,0.0,90,Clouds,6128
2012-10-05 16:00:00,True,47.444000000000074,0.0,0.0,90,Clouds,6069
2012-10-05 17:00:00,True,46.88600000000007,0.0,0.0,90,Clouds,6169
2012-10-05 18:00:00,True,45.89600000000005,0.0,0.0,90,Clouds,5384
2012-10-05 19:00:00,True,44.6,0.0,0.0,90,Clouds,4063
2012-10-05 20:00:00,True,43.93399999999999,0.0,0.0,90,Clouds,3364
2012-10-05 21:00:00,True,43.7,0.0,0.0,75,Clouds,2971
